id,id_str,name,screen_name,location,description,url,protected,followers_count,fast_followers_count,normal_followers_count,friends_count,listed_count,created_at,favourites_count,geo_enabled,verified,statuses_count,media_count,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,has_custom_timelines,translator_type,require_some_consent
481288361,481288361,Joshua Batson,thebasepoint,"Oakland, CA",,,False,757,0,757,340,17,Thu Feb 02 15:09:00 +0000 2012,1977,False,False,806,91,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/498294159145312256/gTZ7nf90_normal.jpeg,https://pbs.twimg.com/profile_images/498294159145312256/gTZ7nf90_normal.jpeg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,True,,False
61849198,61849198,Kim,kvdspek,United States,"Adjunct Math instructor (formerly HS & MS math teacher for 25 years), Fons & Porter certified long-arm quilter, costumer, engineer. Instagram: @ kimvdspek",,False,1585,0,1585,1496,35,Fri Jul 31 19:11:00 +0000 2009,8453,True,False,3161,1072,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1108786417147305989/FTAA0dTc_normal.jpg,https://pbs.twimg.com/profile_images/1108786417147305989/FTAA0dTc_normal.jpg,https://pbs.twimg.com/profile_banners/61849198/1545188201,981CEB,000000,000000,000000,False,False,False,False,True,,False
709160024476672001,709160024476672001,"Bobby ""proud geek"" Seagull",Bobby_Seagull,My Instagram @bobby_seagull,Maths teacher & Doctorate student sharing Maths love. Book: Life-Changing Magic of Numbers. #MonkmanAndSeagull BBC TV presenter. @MathsAppeal podcast. West Ham,https://t.co/AtHVDSIb8v,False,17227,0,17227,57,68,Sun Mar 13 23:31:40 +0000 2016,34063,True,False,24009,1776,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/869195330788765698/aumqOf5U_normal.jpg,https://pbs.twimg.com/profile_images/869195330788765698/aumqOf5U_normal.jpg,https://pbs.twimg.com/profile_banners/709160024476672001/1578671656,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,True,,False
162605310,162605310,mZ🌱,mZargham,"California, USA","Founder https://t.co/eOAuvARBHL
Inventor https://t.co/KSprSwozlg
R&D @crypto3conomics
PhD @Penn AI & Optimization
Complex Systems, Epistemology, Ethics, Math, Engineering and Society.",https://t.co/O0RIhDUwBf,False,2638,0,2638,1551,106,Sun Jul 04 04:44:56 +0000 2010,6327,True,False,3147,254,False,False,False,0D0D0D,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/3492301538/29e909895d1d5c83db4a56eda7d2b46f_normal.jpeg,https://pbs.twimg.com/profile_images/3492301538/29e909895d1d5c83db4a56eda7d2b46f_normal.jpeg,https://pbs.twimg.com/profile_banners/162605310/1538024109,130F40,FFFFFF,DDEEF6,333333,True,True,False,False,True,,False
797081259092672512,797081259092672512,Rodrigo de Azevedo,RodDeAzevedo,Europe,,,True,217,0,217,1578,4,Fri Nov 11 14:19:16 +0000 2016,61660,False,False,317,19,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/797083013729386496/ikgODxD4_normal.jpg,https://pbs.twimg.com/profile_images/797083013729386496/ikgODxD4_normal.jpg,https://pbs.twimg.com/profile_banners/797081259092672512/1485390030,ABB8C2,000000,000000,000000,False,False,False,False,False,,False
703311045784412160,703311045784412160,Szymon Majewski,brewingsense,"Warszawa, Polska",Mathematics PhD candidate from Poland with a bunch of side interests. Searching for useful patterns of indexicality.,,False,73,0,73,95,2,Fri Feb 26 20:09:55 +0000 2016,2107,False,False,1585,33,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1222457748295688193/agD256hB_normal.jpg,https://pbs.twimg.com/profile_images/1222457748295688193/agD256hB_normal.jpg,https://pbs.twimg.com/profile_banners/703311045784412160/1534754086,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,,False
2332559480,2332559480,Robin Leroy,eggleroy,,𝑛-body and extended body gravitation for KSP: https://t.co/d5pxEiHise · blathering about mathematics: https://t.co/sJlM89g9GC,,False,143,0,143,186,4,Fri Feb 07 23:44:24 +0000 2014,1400,False,False,494,39,False,False,False,000000,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/431937472587497472/ohoscT1y_normal.jpeg,https://pbs.twimg.com/profile_images/431937472587497472/ohoscT1y_normal.jpeg,https://pbs.twimg.com/profile_banners/2332559480/1488832533,DAAF88,000000,000000,000000,False,False,False,False,False,,False
25215071,25215071,Chana,ChanaMessinger,,High school math teacher. Quantitative social scientist in training. IPA: χɑ-nɜ,https://t.co/acRunN0ohd,False,674,0,674,863,32,Thu Mar 19 02:14:50 +0000 2009,36978,True,False,4674,55,False,False,False,CCCCCC,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,True,http://pbs.twimg.com/profile_images/892499820723798016/NIHaIdfR_normal.jpg,https://pbs.twimg.com/profile_images/892499820723798016/NIHaIdfR_normal.jpg,,5D1BAC,000000,0A0826,6FD1F2,True,False,False,False,True,,False
770981239817842688,770981239817842688,Freeman Dyson,FreemanDys0n,,"Eng-born American Physicist and Mathematician who loves everything cosmos, Professor emeritus of Institute for Advanced Study.",,False,1599,0,1599,134,30,Wed Aug 31 13:47:06 +0000 2016,3,False,False,13,1,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/777158417022525440/jo7mamdM_normal.jpg,https://pbs.twimg.com/profile_images/777158417022525440/jo7mamdM_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,,False
1640896620,1640896620,Niles Johnson,NilesTopologist,,mathematician,http://t.co/I7sMKbLepr,False,460,0,460,239,10,Fri Aug 02 17:21:32 +0000 2013,1494,False,False,774,120,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/378800000231146194/1bd7570b1978319876709491cef81435_normal.png,https://pbs.twimg.com/profile_images/378800000231146194/1bd7570b1978319876709491cef81435_normal.png,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,,False
