,id,id_str,name,screen_name,location,description,url,protected,followers_count,fast_followers_count,normal_followers_count,friends_count,listed_count,created_at,favourites_count,geo_enabled,verified,statuses_count,media_count,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,has_custom_timelines,translator_type,require_some_consent,profile_banner_url
784,3102213186,3102213186,Vincent Nijs,vrnijs,"San Diego, CA","prof at UCSD (Rady), business analytics, marketing research, #rstats",http://t.co/HVhdvJ5UJl,False,111,0,111,150,5,Sat Mar 21 23:39:26 +0000 2015,5176,False,False,155,4,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/579427533382287360/oOY87A1K_normal.png,https://pbs.twimg.com/profile_images/579427533382287360/oOY87A1K_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,True,,False,
785,220271271,220271271,Francesco Grossetti,contefranz,"Milan, Italy","Assistant Professor at @Unibocconi, statistics | data science | NLP | AI | astrophysics +ε",https://t.co/qZcb3MlFl0,False,448,0,448,1010,24,Sat Nov 27 08:13:09 +0000 2010,772,True,False,3614,265,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1036507633551851520/XboSZB73_normal.jpg,https://pbs.twimg.com/profile_images/1036507633551851520/XboSZB73_normal.jpg,1B95E0,FFFFFF,252429,666666,True,False,False,False,False,,False,https://pbs.twimg.com/profile_banners/220271271/1520940585
786,770668227219300352,770668227219300352,Sarahanne Field,SMirandaField,"Groningen, Nederland","PhD student in NL studying the metascience community (IRL + online). Tweets = data. Mostly qual methods. Open science, always. https://t.co/IvWGT5AxEe 🇳🇿🇳🇱",https://t.co/5umnYPUvOC,False,522,0,522,752,3,Tue Aug 30 17:03:18 +0000 2016,2472,False,False,467,7,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1137044387035267072/ze9gVSSB_normal.jpg,https://pbs.twimg.com/profile_images/1137044387035267072/ze9gVSSB_normal.jpg,5673AB,000000,000000,000000,False,True,False,False,False,,False,https://pbs.twimg.com/profile_banners/770668227219300352/1472577298
787,931897784097300481,931897784097300481,Don van Ravenzwaaij,DonVanRaven,University of Groningen,"Associate Professor at University of Groningen, Bayesian Inference, Response Time Modeling",https://t.co/QC6Z7oIMkJ,False,407,0,407,115,8,Sat Nov 18 14:52:00 +0000 2017,114,False,False,101,9,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/931899055000752128/_HIEshPg_normal.jpg,https://pbs.twimg.com/profile_images/931899055000752128/_HIEshPg_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,,False,https://pbs.twimg.com/profile_banners/931897784097300481/1511018171
788,928784253671825408,928784253671825408,Rink Hoekstra,RinkHoekstra,"Groningen, Nederland","Scientist at the University of Groningen, Statistical inference, Open science, Open access, Meta science",,False,390,0,390,328,7,Fri Nov 10 00:39:56 +0000 2017,1986,False,False,915,7,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/929534779506114560/rh8zhBhO_normal.jpg,https://pbs.twimg.com/profile_images/929534779506114560/rh8zhBhO_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,,False,https://pbs.twimg.com/profile_banners/928784253671825408/1561147236
789,979375994401325056,979375994401325056,Rei Monden,MondenRei,"Groningen, Nederland",a postdoc researcher at University Medical Center Groningen,,False,25,0,25,29,0,Thu Mar 29 15:13:27 +0000 2018,3,False,False,5,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1052913645921943552/SVx2xl4q_normal.jpg,https://pbs.twimg.com/profile_images/1052913645921943552/SVx2xl4q_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,,False,
790,191232431,191232431,Dale Barr,dalejbarr,"Glasgow, UK",human social interaction & communication | research methods & meta-science | reproducible data analysis | #rstats,https://t.co/w1Rr7qhUYm,False,2895,0,2895,1059,76,Wed Sep 15 22:55:44 +0000 2010,5884,True,False,5724,263,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1121873303197691904/VJNjWG-a_normal.jpg,https://pbs.twimg.com/profile_images/1121873303197691904/VJNjWG-a_normal.jpg,70856A,FFFFFF,DDEEF6,333333,True,False,False,False,True,,False,https://pbs.twimg.com/profile_banners/191232431/1418782304
791,224224281,224224281,Sarah Herbert,sahrendipity,"Brisbane, Queensland","data scientist, hula hooper, devoted to a tiny dog. All views are my own.",,False,72,0,72,80,1,Wed Dec 08 13:23:13 +0000 2010,105,False,False,73,3,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/890069640268967937/Sr-N_KO-_normal.jpg,https://pbs.twimg.com/profile_images/890069640268967937/Sr-N_KO-_normal.jpg,088253,D3D2CF,E3E2DE,634047,True,False,False,False,False,,False,
792,172532664,172532664,Australian Bureau of Statistics,ABSStats,Australia,"Informing Australia's important decisions. 
About us: https://t.co/MYj7Pt48f7.
Our social media guidelines: https://t.co/oF0Kt25VQA",https://t.co/pcBX0fg7Kg,False,79753,0,79753,648,481,Thu Jul 29 23:19:30 +0000 2010,764,True,True,6323,2264,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/986431860073902080/JJXJKx3t_normal.jpg,https://pbs.twimg.com/profile_images/986431860073902080/JJXJKx3t_normal.jpg,2354D1,E5F4FB,E5F4FB,333333,True,False,False,False,True,,False,https://pbs.twimg.com/profile_banners/172532664/1576025851
793,3000185672,3000185672,Ben R. Fitzpatrick,benrfitzpatrick,,"Postdoc @WSL_research investigating Red Wood Ant distributions. PhD Statistics, BSc Biology, Cyclist, Hiker & FOSS Fan. Retweets & likes are not endorsements.",https://t.co/48lrmVzyDo,False,527,0,527,865,87,Thu Jan 29 00:56:09 +0000 2015,10070,False,False,2901,277,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/746210679846113280/89W0NBBj_normal.jpg,https://pbs.twimg.com/profile_images/746210679846113280/89W0NBBj_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,,False,https://pbs.twimg.com/profile_banners/3000185672/1580675988
